Arrest_Date,Police_Department_Code,Offense_Description,Offense_Key_Code,Offense_Detailed_Description,Law_Code,Offense_Category_Code,Arrest_Borough,Arrest_Precinct,Jurisdiction_Code,Perpetrator_Age_Group,Perpetrator_Sex,Perpetrator_Race,Latitude,Longitude,Arrest_Day_of_Week,Location
2024-01-30T00:00:00.000-05:00,177,SEXUAL ABUSE,116,OTHER,PL 1306501,F,MANHATTAN,25,0,25-44,M,BLACK,40.8009303727402,-73.9410982410066,Tuesday,"40.8009303727402, -73.9410982410066"
2024-03-30T00:00:00.000-04:00,105,STRANGULATION 1ST,106,ASSAULT,PL 1211200,F,BRONX,44,0,25-44,M,BLACK,40.833209,-73.927554,Saturday,"40.833209, -73.927554"
2024-04-06T00:00:00.000-04:00,105,STRANGULATION 1ST,106,ASSAULT,PL 1211200,F,MANHATTAN,19,0,25-44,M,BLACK,40.778348,-73.952863,Saturday,"40.778348, -73.952863"
2024-04-18T00:00:00.000-04:00,105,STRANGULATION 1ST,106,ASSAULT,PL 1211200,F,BROOKLYN,69,0,25-44,M,BLACK,40.648698,-73.905128,Thursday,"40.648698, -73.905128"
2024-05-22T00:00:00.000-04:00,464,JOSTLING,230,OTHER,PL 1652501,M,MANHATTAN,18,0,18-24,M,WHITE,40.763313,-73.973717,Wednesday,"40.763313, -73.973717"
2024-05-13T00:00:00.000-04:00,155,RAPE 2,104,OTHER,PL 1303001,F,QUEENS,112,0,18-24,M,HISPANIC,40.7226409964758,-73.8515418216779,Monday,"40.7226409964758, -73.8515418216779"
2024-01-03T00:00:00.000-05:00,153,RAPE 3,104,OTHER,PL 1302503,F,QUEENS,113,0,25-44,M,BLACK,40.6799807384666,-73.7762339071953,Wednesday,"40.6799807384666, -73.7762339071953"
2024-01-10T00:00:00.000-05:00,157,RAPE 1,104,OTHER,PL 1303501,F,BRONX,42,0,25-44,M,BLACK,40.8222710411331,-73.911697780277,Wednesday,"40.8222710411331, -73.911697780277"
2024-06-06T00:00:00.000-04:00,808,TAX LAW,125,OTHER,TAX18140B3,F,MANHATTAN,13,0,45-64,M,BLACK,40.7452870263689,-73.98872939424497,Thursday,"40.7452870263689, -73.98872939424497"
2024-06-12T00:00:00.000-04:00,105,STRANGULATION 1ST,106,ASSAULT,PL 1211200,F,BRONX,52,0,45-64,M,BLACK,40.86284,-73.89958,Wednesday,"40.86284, -73.89958"
2024-01-17T00:00:00.000-05:00,263,"ARSON 2,3,4",114,OTHER,PL 150150H,F,MANHATTAN,5,0,25-44,M,BLACK,40.71359,-74.001412,Wednesday,"40.71359, -74.001412"
2024-01-18T00:00:00.000-05:00,153,RAPE 3,104,OTHER,PL 1302503,F,BRONX,41,0,45-64,M,BLACK,40.8162058439227,-73.8960011932583,Thursday,"40.8162058439227, -73.8960011932583"
2024-01-18T00:00:00.000-05:00,155,RAPE 2,104,OTHER,PL 1303001,F,MANHATTAN,5,0,25-44,M,BLACK,40.7160120119955,-73.9973320301008,Thursday,"40.7160120119955, -73.9973320301008"
2024-06-17T00:00:00.000-04:00,105,STRANGULATION 1ST,106,ASSAULT,PL 1211200,F,BROOKLYN,75,0,25-44,M,BLACK,40.668896,-73.898482,Monday,"40.668896, -73.898482"
2024-06-18T00:00:00.000-04:00,153,RAPE 3,104,OTHER,PL 1302503,F,QUEENS,112,0,18-24,M,WHITE,40.7226409964758,-73.8515418216779,Tuesday,"40.7226409964758, -73.8515418216779"
2024-01-24T00:00:00.000-05:00,777,(null),,OTHER,PL 1950200,F,BROOKLYN,67,0,45-64,F,WHITE,40.648859,-73.95082,Wednesday,"40.648859, -73.95082"
2024-01-27T00:00:00.000-05:00,105,STRANGULATION 1ST,106,ASSAULT,PL 1211300,F,QUEENS,109,0,18-24,M,WHITE,40.782006,-73.800465,Saturday,"40.782006, -73.800465"
2024-01-29T00:00:00.000-05:00,464,JOSTLING,230,OTHER,PL 1652501,M,MANHATTAN,5,0,65+,F,HISPANIC,40.718617,-73.995253,Monday,"40.718617, -73.995253"
2024-01-31T00:00:00.000-05:00,164,SODOMY 3,116,OTHER,PL 1304001,F,MANHATTAN,5,0,45-64,M,BLACK,40.7160120119955,-73.9973320301008,Wednesday,"40.7160120119955, -73.9973320301008"
2024-02-06T00:00:00.000-05:00,153,RAPE 3,104,OTHER,PL 1302503,F,QUEENS,113,0,65+,M,BLACK,40.6799807384666,-73.7762339071953,Tuesday,"40.6799807384666, -73.7762339071953"
2024-07-10T00:00:00.000-04:00,105,STRANGULATION 1ST,106,ASSAULT,PL 1211200,F,STATEN ISLAND,120,0,45-64,M,WHITE,40.645005,-74.077265,Wednesday,"40.645005, -74.077265"
2024-02-17T00:00:00.000-05:00,101,ASSAULT 3,344,ASSAULT,PL 1200001,M,MANHATTAN,25,0,18-24,F,HISPANIC,0.0,0.0,Saturday,"0.0, 0.0"
2024-02-18T00:00:00.000-05:00,263,"ARSON 2,3,4",114,OTHER,PL 1501500,F,BROOKLYN,60,0,25-44,M,BLACK,40.577258,-73.976436,Sunday,"40.577258, -73.976436"
2024-07-25T00:00:00.000-04:00,153,RAPE 3,104,OTHER,PL 1302503,F,STATEN ISLAND,122,0,25-44,M,WHITE,40.5742856881925,-74.1059144051212,Thursday,"40.5742856881925, -74.1059144051212"
2024-07-18T00:00:00.000-04:00,157,RAPE 1,104,OTHER,PL 1303501,F,BROOKLYN,90,0,45-64,M,BLACK,40.7065483947783,-73.9504006335643,Thursday,"40.7065483947783, -73.9504006335643"
2024-03-06T00:00:00.000-05:00,153,RAPE 3,104,OTHER,PL 1302502,F,BROOKLYN,77,0,45-64,M,BLACK,40.6744956865259,-73.9305713255961,Wednesday,"40.6744956865259, -73.9305713255961"
2024-03-04T00:00:00.000-05:00,153,RAPE 3,104,OTHER,PL 1302503,F,BRONX,45,0,18-24,M,HISPANIC,40.8307223277672,-73.8271260588639,Monday,"40.8307223277672, -73.8271260588639"
2024-07-27T00:00:00.000-04:00,168,SODOMY 1,116,OTHER,PL 1305001,F,BROOKLYN,71,0,25-44,M,BLACK,40.664121282631,-73.9477648403751,Saturday,"40.664121282631, -73.9477648403751"
2024-08-18T00:00:00.000-04:00,105,STRANGULATION 1ST,106,ASSAULT,PL 1211200,F,BROOKLYN,83,0,25-44,M,WHITE,40.695766,-73.906527,Sunday,"40.695766, -73.906527"
2024-08-11T00:00:00.000-04:00,105,STRANGULATION 1ST,106,ASSAULT,PL 1211200,F,QUEENS,113,0,25-44,M,BLACK,40.700677,-73.754994,Sunday,"40.700677, -73.754994"
2024-09-04T00:00:00.000-04:00,105,STRANGULATION 1ST,106,ASSAULT,PL 1211200,F,QUEENS,105,0,25-44,M,BLACK,40.670475,-73.755957,Wednesday,"40.670475, -73.755957"
2024-04-16T00:00:00.000-04:00,105,STRANGULATION 1ST,106,ASSAULT,PL 1211200,F,BRONX,40,0,25-44,M,BLACK,40.810391,-73.924895,Tuesday,"40.810391, -73.924895"
2024-04-16T00:00:00.000-04:00,105,STRANGULATION 1ST,106,ASSAULT,PL 1211200,F,MANHATTAN,33,0,25-44,M,BLACK,40.841616,-73.941022,Tuesday,"40.841616, -73.941022"
2024-04-18T00:00:00.000-04:00,153,RAPE 3,104,OTHER,PL 1302503,F,STATEN ISLAND,120,0,18-24,M,HISPANIC,40.6447209438691,-74.0770327198983,Thursday,"40.6447209438691, -74.0770327198983"
2024-08-25T00:00:00.000-04:00,157,RAPE 1,104,OTHER,PL 1303501,F,MANHATTAN,25,0,25-44,M,BLACK,40.8009303727402,-73.9410982410066,Sunday,"40.8009303727402, -73.9410982410066"
2024-04-22T00:00:00.000-04:00,105,STRANGULATION 1ST,106,ASSAULT,PL 1211200,F,QUEENS,115,0,45-64,M,WHITE,40.756805,-73.864459,Monday,"40.756805, -73.864459"
2024-09-19T00:00:00.000-04:00,153,RAPE 3,104,OTHER,PL 1302507,F,QUEENS,112,0,45-64,M,BLACK,40.7226409964758,-73.8515418216779,Thursday,"40.7226409964758, -73.8515418216779"
2024-10-24T00:00:00.000-04:00,849,"NY STATE LAWS,UNCLASSIFIED VIO",677,OTHER,CPL5700600,9,QUEENS,113,3,25-44,M,HISPANIC,0.0,0.0,Thursday,"0.0, 0.0"
2024-06-03T00:00:00.000-04:00,105,STRANGULATION 1ST,106,ASSAULT,PL 1211300,F,BROOKLYN,77,0,25-44,M,BLACK,40.674593,-73.930572,Monday,"40.674593, -73.930572"
2024-06-06T00:00:00.000-04:00,155,RAPE 2,104,OTHER,PL 1303001,F,BROOKLYN,73,0,18-24,M,BLACK,40.6711300016904,-73.9135020552048,Thursday,"40.6711300016904, -73.9135020552048"
2024-06-08T00:00:00.000-04:00,153,RAPE 3,104,OTHER,PL 1302503,F,QUEENS,114,0,45-64,M,BLACK,40.7694951184418,-73.9150241703895,Saturday,"40.7694951184418, -73.9150241703895"
2024-06-06T00:00:00.000-04:00,105,STRANGULATION 1ST,106,ASSAULT,PL 1211300,F,MANHATTAN,20,0,45-64,M,BLACK,40.784499,-73.97548,Thursday,"40.784499, -73.97548"
