Arrest_Date,Police_Department_Code,Offense_Description,Offense_Key_Code,Offense_Detailed_Description,Law_Code,Offense_Category_Code,Arrest_Borough,Arrest_Precinct,Jurisdiction_Code,Perpetrator_Age_Group,Perpetrator_Sex,Perpetrator_Race,Latitude,Longitude,Arrest_Day_of_Week,Location
2024-01-03T00:00:00.000-05:00,511,"CONTROLLED SUBSTANCE, POSSESSI",235,DRUGS,PL 2200300,M,BRONX,43,0,25-44,M,BLACK,40.832899498652175,-73.86226545382524,Wednesday,"40.832899498652175, -73.86226545382524"
2024-04-08T00:00:00.000-04:00,339,"LARCENY,PETIT FROM OPEN AREAS,",341,THEFT,PL 1552500,M,BROOKLYN,94,0,25-44,M,HISPANIC,40.715878,-73.959825,Monday,"40.715878, -73.959825"
2024-04-21T00:00:00.000-04:00,849,"NY STATE LAWS,UNCLASSIFIED VIO",677,OTHER,LOC00000V0,V,BROOKLYN,73,1,25-44,M,HISPANIC,40.679516449878804,-73.90457012340953,Sunday,"40.679516449878804, -73.90457012340953"
2024-05-30T00:00:00.000-04:00,109,"ASSAULT 2,1,UNCLASSIFIED",106,ASSAULT,PL 1200502,F,QUEENS,114,0,25-44,M,WHITE,40.767696,-73.914107,Thursday,"40.767696, -73.914107"
2024-06-03T00:00:00.000-04:00,478,"THEFT OF SERVICES, UNCLASSIFIE",343,OTHER,PL 1651503,M,BROOKLYN,73,1,18-24,M,BLACK,40.66522734973944,-73.92318295755098,Monday,"40.66522734973944, -73.92318295755098"
2024-04-21T00:00:00.000-04:00,101,ASSAULT 3,344,ASSAULT,PL 1200001,M,BRONX,46,0,25-44,M,BLACK,40.854182,-73.899787,Sunday,"40.854182, -73.899787"
2024-01-04T00:00:00.000-05:00,782,"WEAPONS, POSSESSION, ETC",236,OTHER,PL 2650101,M,BROOKLYN,62,0,25-44,M,WHITE,40.608168968570105,-73.98734075842589,Thursday,"40.608168968570105, -73.98734075842589"
2024-05-20T00:00:00.000-04:00,114,OBSTR BREATH/CIRCUL,344,ASSAULT,PL 1211100,M,BRONX,45,0,25-44,M,BLACK,40.8307223277672,-73.8271260588639,Monday,"40.8307223277672, -73.8271260588639"
2024-01-17T00:00:00.000-05:00,639,AGGRAVATED HARASSMENT 2,361,OTHER,PL 2403002,M,BROOKLYN,75,0,45-64,M,BLACK,40.671413,-73.88151,Wednesday,"40.671413, -73.88151"
2024-01-17T00:00:00.000-05:00,748,"CONTEMPT,CRIMINAL",359,OTHER,PL 2155003,M,BRONX,48,0,25-44,M,HISPANIC,40.841099,-73.881114,Wednesday,"40.841099, -73.881114"
